sim_time,front_x,Z,T,cohesion,viscosity,tension
20.2132,105.667,4.34757,12.8578,0,3.14,0
20.2732,105.667,4.34757,12.896,0,3.14,0
20.3332,105.667,4.34757,12.9341,0,3.14,0
20.3932,105.667,4.34757,12.9723,0,3.14,0
20.4532,105.667,4.34757,13.0105,0,3.14,0
20.5132,105.667,4.34757,13.0486,0,3.14,0
20.5732,105.667,4.34757,13.0868,0,3.14,0
20.6332,105.667,4.34757,13.125,0,3.14,0
20.6932,105.667,4.34757,13.1631,0,3.14,0
20.7532,105.667,4.34757,13.2013,0,3.14,0
20.8132,105.667,4.34757,13.2395,0,3.14,0
20.8732,105.667,4.34757,13.2776,0,3.14,0
20.9332,105.667,4.34757,13.3158,0,3.14,0
20.9932,105.667,4.34757,13.354,0,3.14,0
21.0532,105.667,4.34757,13.3921,0,3.14,0
21.1132,105.667,4.34757,13.4303,0,3.14,0
21.1732,105.667,4.34757,13.4685,0,3.14,0
21.2332,105.667,4.34757,13.5066,0,3.14,0
21.2932,105.667,4.34757,13.5448,0,3.14,0
21.3532,105.667,4.34757,13.583,0,3.14,0
21.4132,105.667,4.34757,13.6211,0,3.14,0
21.4732,105.667,4.34757,13.6593,0,3.14,0
21.5332,105.667,4.34757,13.6975,0,3.14,0
21.5932,105.667,4.34757,13.7356,0,3.14,0
21.6532,105.667,4.34757,13.7738,0,3.14,0
21.7132,105.667,4.34757,13.812,0,3.14,0
21.7732,105.667,4.34757,13.8501,0,3.14,0
21.8332,105.667,4.34757,13.8883,0,3.14,0
21.8932,105.667,4.34757,13.9265,0,3.14,0
21.9532,105.667,4.34757,13.9646,0,3.14,0
22.0132,105.667,4.34757,14.0028,0,3.14,0
22.0732,105.667,4.34757,14.041,0,3.14,0
22.1332,105.667,4.34757,14.0791,0,3.14,0
22.1932,105.667,4.34757,14.1173,0,3.14,0
22.2532,105.667,4.34757,14.1555,0,3.14,0
22.3132,105.667,4.34757,14.1936,0,3.14,0
22.3732,105.667,4.34757,14.2318,0,3.14,0
22.4332,105.667,4.34757,14.27,0,3.14,0
22.4932,105.667,4.34757,14.3081,0,3.14,0
22.5532,105.667,4.34757,14.3463,0,3.14,0
22.6132,105.667,4.34757,14.3845,0,3.14,0
22.6732,105.667,4.34757,14.4226,0,3.14,0
22.7332,105.667,4.34757,14.4608,0,3.14,0
22.7932,105.667,4.34757,14.499,0,3.14,0
22.8532,105.667,4.34757,14.5371,0,3.14,0
22.9132,104.487,4.32325,14.5753,0,3.14,0
22.9732,104.474,4.32298,14.6135,0,3.14,0
23.0332,104.467,4.32283,14.6516,0,3.14,0
23.0932,105.667,4.34757,14.6898,0,3.14,0
23.1532,105.667,4.34757,14.728,0,3.14,0
23.2132,105.667,4.34757,14.7661,0,3.14,0
